VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
9552,M S WALKER INC,25689,Nisia 13 O V Verdejo Rueda,6.03,8.99,750.0,636,3835.08,624.0,5609.759999999973,2013.7600000000016,69.68999999999996,55551.81999999999,1774.679999999973,31.635577992641068,0.981132075471698,1.4627491473450287
9552,M S WALKER INC,34504,Ca'Montini Pinot Grigio Tre,9.45,13.99,750.0,2610,24664.50000000007,2616.0,39881.8400000003,22364.310000000434,290.6800000000077,55551.81999999999,15217.340000000231,38.15606301013222,1.0022988505747126,1.6169733827971453
4425,MARTIGNETTI COMPANIES,25154,Vina Cobos Cocodrilo Corte,17.0,24.99,750.0,1,17.0,75.0,1874.2500000000005,1624.3500000000004,8.280000000000006,144929.24,1857.2500000000005,99.09297052154194,75.0,110.25000000000004
90011,FORTUNE WINE BROKERS LLC,25794,Girasole Hybrid Red,7.89,11.99,750.0,48,378.72,44.0,584.5600000000001,163.88,4.930000000000001,238.61,205.84000000000003,35.212809634596965,0.9166666666666666,1.5435149978876217
653,STATE WINE & SPIRITS,19652,Alias Chard,6.07,8.99,750.0,72,437.04,53.0,582.47,98.90999999999998,5.950000000000002,8014.98,145.43,24.967809500918506,0.7361111111111112,1.332761303313198
5992,MCCORMICK DISTILLING CO,976,McCormick Gold Label Bourbon,7.47,9.49,1000.0,386,2883.4199999999987,421.0,3995.28999999999,1357.070000000001,442.0500000000005,1567.85,1111.8699999999913,27.82951925892724,1.0906735751295338,1.385608062647825
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893,736897.8699999982,41506.0,967005.9399998506,361149.7899999199,32678.120000003863,257032.0700000001,230108.06999985236,23.79593138795899,0.990762179839114,1.312265891065546
1128,BROWN-FORMAN CORP,44712,Sonoma-Cutrer Chard Sonoma,13.79,21.99,750.0,7540,103976.6,8566.0,192344.3399999998,77656.70000000115,956.4800000000412,68601.68000000001,88367.73999999979,45.94246963544645,1.1360742705570293,1.8498810309242637
10754,PERFECTA WINES,21476,Cos d'Estournel St Estephe,198.67,299.99,750.0,7,1390.69,7.0,2099.9300000000003,599.98,0.79,28720.52,709.2400000000002,33.7744591486383,1.0,1.5099914430965924
8673,STE MICHELLE WINE ESTATES,31083,Stags Leap Chard Napa,18.66,28.99,750.0,4012,74863.91999999977,2639.0,78275.61000000052,39250.76000000033,293.6500000000066,15919.700000000004,3411.690000000759,4.358560731753782,0.6577766699900299,1.045571885629296
